#{"t_start": 1704323611.199187, "env_id": "None"}
r,l,t
12.875036,1001,3.61999
9.875673,1001,7.774685
7.078958,1001,11.694521
11.244573,1001,15.848646
5.489334,1001,20.046395
6.102254,1001,24.072142
8.131791,1001,27.460419
7.058967,1001,31.333132
8.780375,1001,35.434175
6.37392,1001,39.473422
7.848962,1001,42.872942
5.368219,1001,46.69856
10.535877,1001,50.819308
11.802268,1001,54.191119
9.344827,1001,57.554028
6.402337,1001,60.972127
9.599515,1001,65.11847
10.311912,1001,68.478449
8.284899,1001,71.844723
9.092289,1001,75.215038
6.741651,1001,79.305319
9.000787,1001,82.689508
8.449247,1001,86.061266
9.870841,1001,89.463686
9.057718,1001,93.536015
15.247175,1001,96.923921
5.628323,1001,100.29846
10.516588,1001,103.867166
7.746824,1001,108.068403
11.044548,1001,111.620059
11.157953,1001,115.00818
12.3626,1001,119.005049
11.256691,1001,123.742971
10.349034,1001,128.058122
7.590419,1001,131.48265
9.878246,1001,134.879185
6.03916,1001,138.973533
12.18193,1001,142.358919
12.084154,1001,145.734553
6.796021,1001,149.111421
10.608608,1001,153.195788
9.032091,1001,156.5862
7.034248,1001,159.944234
8.960121,1001,163.334689
11.276429,1001,166.73218
13.336741,1001,170.85494
6.438007,1001,174.215608
11.543896,1001,177.572297
10.843685,1001,180.956949
14.137223,1001,185.086381
12.995034,1001,188.615398
12.865996,1001,192.12861
13.178405,1001,195.613532
12.429963,1001,199.958649
10.638743,1001,203.452333
8.260702,1001,206.970346
10.358041,1001,210.484762
8.381646,1001,214.532021
8.64437,1001,217.902531
6.975179,1001,221.282537
10.67725,1001,224.731854
8.9251,1001,228.859604
6.681775,1001,232.371624
11.075781,1001,235.773941
7.114364,1001,239.151686
15.099494,1001,243.279851
11.209172,1001,246.668226
13.452719,1001,250.062372
11.948721,1001,253.446716
11.206541,1001,257.609463
7.203926,1001,260.979907
12.529988,1001,264.349302
10.952064,1001,267.769157
9.454796,1001,271.875434
11.314159,1001,275.254041
15.883315,1001,278.761972
9.175154,1001,282.545152
13.737772,1001,286.986064
13.809875,1001,290.549385
10.145581,1001,294.149283
16.557996,1001,298.174192
11.368202,1001,303.513499
14.044177,1001,307.622678
13.546312,1001,311.781554
9.951461,1001,315.990173
13.590617,1001,321.350859
10.132597,1001,326.407513
10.49314,1001,331.127874
5.618499,1001,334.83267
10.141326,1001,338.336876
7.87596,1001,342.434032
10.374164,1001,345.88489
12.553667,1001,349.520092
14.385011,1001,352.974226
13.887981,1001,357.060101
11.647335,1001,360.487679
7.41347,1001,363.901563
11.579691,1001,367.309522
11.786521,1001,371.448092
11.168199,1001,374.934301
10.853747,1001,378.928
9.661195,1001,384.053611
13.83703,1001,389.18609
12.808163,1001,393.243284
11.04372,1001,397.168233
10.988477,1001,400.777601
12.963222,1001,405.205274
11.905897,1001,408.799113
9.146224,1001,412.545708
13.404295,1001,416.263048
7.742734,1001,420.727779
10.397155,1001,424.22875
11.196742,1001,427.711382
14.917158,1001,431.269179
10.189278,1001,435.479752
17.49461,1001,438.964369
13.05303,1001,442.382393
11.659677,1001,445.916244
9.774123,1001,450.098702
10.320602,1001,453.570137
15.514625,1001,457.248138
