#{"t_start": 1702894066.7516422, "env_id": "None"}
r,l,t
50.140194,1001,9.696406
29.280578,584,15.195047
50.443224,1001,24.361789
50.247572,1001,33.676377
50.382295,1001,45.631743
50.285716,1001,54.539164
50.39792,1001,63.524829
50.272931,1001,72.417038
50.49687,1001,84.294412
50.277898,1001,93.186471
50.34357,1001,102.72271
50.257738,1001,111.917907
50.479254,1001,123.474934
50.40374,1001,132.449378
50.406395,1001,141.524312
50.436826,1001,150.466379
50.534549,1001,162.027147
50.396316,1001,171.080778
50.48747,1001,180.116812
50.271496,1001,189.228024
50.423999,1001,201.248087
50.309104,1001,210.362356
50.232067,1001,219.458017
50.596059,1001,228.538931
50.176779,1001,240.464274
50.526228,1001,249.622555
50.581979,1001,258.734744
50.568768,1001,267.845448
50.513087,1001,276.926953
50.389956,1001,288.900521
50.506553,1001,298.200869
50.27136,1001,307.297359
50.501544,1001,316.393051
50.43367,1001,328.413396
50.367692,1001,337.430535
50.337414,1001,346.479416
50.445983,1001,355.825095
50.655744,1001,368.047478
50.310081,1001,377.017601
50.191411,1001,385.987592
50.372297,1001,395.278935
50.456189,1001,407.704826
50.468476,1001,416.878152
50.242843,1001,425.87953
50.231236,1001,434.802496
50.299935,1001,446.866751
50.527617,1001,455.915112
50.274088,1001,465.057387
50.359597,1001,474.027532
50.304587,1001,486.092304
50.292719,1001,495.046464
50.196372,1001,504.001064
50.292267,1001,512.939858
50.161132,1001,524.926164
50.33696,1001,533.833807
50.243716,1001,542.756807
50.352076,1001,551.711191
50.290918,1001,563.666248
50.410632,1001,572.605088
50.248427,1001,581.544112
50.570905,1001,590.545556
50.45402,1001,602.437786
50.330371,1001,611.376402
50.303357,1001,620.29976
50.247581,1001,629.253894
50.254685,1001,641.25708
50.202005,1001,650.243244
50.468393,1001,659.214796
50.444022,1001,668.247501
50.503449,1001,680.346532
50.474028,1001,690.175729
50.293965,1001,701.021176
50.144556,1001,712.42915
50.286135,1001,721.432345
50.448595,1001,734.263706
50.205121,1001,743.235331
50.409375,1001,752.252399
50.336999,1001,761.269612
50.332439,1001,773.335443
50.488446,1001,782.322786
50.293173,1001,791.34114
50.254031,1001,800.326663
50.28214,1001,812.313549
50.355244,1001,821.22086
50.275817,1001,830.144741
50.166699,1001,839.067946
50.325985,1001,851.023917
50.106962,1001,859.978279
50.242566,1001,868.917655
50.328877,1001,878.122538
50.353963,1001,890.252768
50.492684,1001,899.238733
50.205319,1001,908.615194
50.325079,1001,917.600877
50.216634,1001,930.341112
50.32056,1001,939.389856
50.416008,1001,948.684393
50.371405,1001,958.335652
50.436351,1001,970.565481
50.619047,1001,980.494982
50.598615,1001,990.678816
50.237359,1001,1000.101061
