#{"t_start": 1702732131.67664, "env_id": "None"}
r,l,t
0.112929,1001,10.070236
0.117452,1001,19.648628
0.083999,1001,29.294543
3.768185,1001,38.842884
0.153521,1001,51.188756
4.096082,1001,60.393555
0.065166,1001,69.628885
0.024889,1001,79.208191
0.116885,1001,91.709601
0.047695,1001,101.561944
28.561419,1001,110.985413
5.756968,1001,120.393392
18.456417,1001,132.567711
0.156047,1001,141.849866
1.082351,1001,151.053934
0.130632,1001,160.480124
0.021264,1001,172.54709
0.174507,1001,181.735803
28.934116,1001,190.971303
5.409411,1001,200.161596
15.4661,1001,212.132821
0.141467,1001,221.337034
0.111634,1001,230.572489
0.026241,1001,239.823909
22.288829,1001,251.825618
0.149322,1001,261.030205
0.273584,1001,270.297168
6.011057,1001,279.438926
5.244773,1001,291.346859
0.317583,1001,300.569932
6.213066,1001,309.742838
0.002717,1001,318.884428
0.000474,1001,330.902774
0.104112,1001,340.075586
1.365033,1001,349.280442
0.198097,1001,358.565621
4.763728,1001,370.662175
0.005946,1001,379.850327
0.075098,1001,389.101754
15.54915,1001,398.274519
0.04967,1001,410.198351
0.123472,1001,419.355681
0.132853,1001,428.544062
0.023477,1001,437.701663
0.062646,1001,446.952996
0.33046,1001,458.971363
1.355912,1001,468.223659
8.775043,1001,477.428223
2.91246,1001,486.633008
3.895134,1001,498.619929
0.182328,1001,507.919981
0.163871,1001,517.157723
0.262261,1001,526.440747
12.34019,1001,538.380201
0.089767,1001,547.757318
10.729365,1001,557.12087
5.242993,1001,566.483008
0.012286,1001,578.815263
0.468678,1001,588.148534
0.0,1001,597.604663
0.227997,1001,606.794623
11.178314,1001,618.765043
0.118773,1001,628.017728
2.200506,754,635.051201
8.293146,1001,644.224879
0.110112,1001,656.149948
0.002397,1001,665.323589
0.123226,1001,674.606934
0.17607,1001,683.890166
12.380915,1001,696.100319
7.387662,1001,705.245489
7.579373,649,711.373357
0.147057,1001,720.514792
0.0,1001,730.215437
0.366087,1001,742.576717
29.148409,1001,751.813511
0.607192,1001,761.017803
0.305187,406,765.018482
18.484353,1001,776.989068
0.096954,1001,786.193404
1.027485,1001,795.445529
0.075819,1001,804.68233
27.36376,1001,813.96755
0.144349,1001,826.063645
0.002643,1001,835.299353
0.001426,1001,844.521157
1.541149,1001,853.663245
7.597791,1001,865.635617
23.636906,1001,874.779738
2.00081,1001,884.015255
0.071902,1001,893.17348
28.805084,1001,905.09662
0.180828,1001,914.269432
0.13545,1001,923.474042
0.504971,1001,932.709352
0.592983,1001,944.759286
14.140621,1001,953.9479
5.150832,1001,963.120703
2.949767,1001,972.340419
0.088944,1001,984.420479
6.973119,800,991.968481
0.146011,1001,1001.126421
12.723835,1001,1010.299613
0.01168,1001,1022.459784
7.151714,1001,1031.648468
1.136168,1001,1040.774655
0.001884,1001,1049.963081
0.021913,1001,1061.886661
0.018416,1001,1071.044216
0.149148,1001,1080.232624
0.013643,1001,1089.390748
0.138134,1001,1101.330337
1.367174,1001,1110.471654
7.373236,1001,1119.614437
10.07582,1001,1128.771989
0.189039,1001,1140.742864
0.131206,1001,1150.01099
8.03996,1001,1159.184411
0.123473,1001,1168.435732
6.486271,1001,1177.671694
0.122959,1001,1189.597524
9.983387,1001,1198.817686
0.000412,1001,1207.975199
1.031616,1001,1217.116784
0.124362,1001,1229.072506
0.095492,1001,1238.262179
19.330684,1001,1247.52971
13.595541,1001,1256.703155
2.812822,597,1265.063992
0.105143,1001,1274.268065
0.192696,1001,1283.442008
0.098624,1001,1292.663761
4.697811,1001,1304.60533
0.067911,1001,1313.809638
0.100724,1001,1323.061457
4.148181,1001,1332.393035
0.047469,1001,1344.333416
1.163167,1001,1353.475338
0.131729,1001,1362.789945
11.250775,1001,1371.964288
21.849135,1001,1383.904696
10.075855,1001,1393.392813
2.948028,1001,1402.852466
0.027907,1001,1412.056705
3.017931,417,1416.198566
0.147232,1001,1428.388653
5.697505,1001,1437.609279
6.189302,1001,1446.799041
0.12663,1001,1456.16028
0.075202,1001,1468.69781
0.087214,1001,1478.059984
10.884286,1001,1487.655042
0.132627,1001,1496.953558
23.835691,1001,1509.177271
15.154468,674,1515.756338
0.177882,1001,1525.164816
0.149606,1001,1534.496201
0.03225,1001,1544.26434
2.57134,1001,1556.578075
2.161754,254,1559.281764
8.522066,1001,1568.53442
0.135778,1001,1577.786455
14.681486,1001,1587.006665
0.173013,1001,1599.227941
0.141336,1001,1608.464565
0.003638,1001,1617.766231
22.171347,1001,1626.968447
0.152718,1001,1639.204787
9.595747,1001,1648.581383
0.00125,1001,1657.848288
0.164168,1001,1667.148174
4.197242,1001,1679.462893
13.267416,1001,1688.65187
18.065645,1001,1697.856525
9.36742,1001,1707.045399
1.302872,1001,1719.297866
8.98012,1001,1728.503134
16.514537,1001,1737.693088
0.280847,1001,1746.915886
0.018828,1001,1759.402655
7.105733,1001,1768.733041
0.008583,1001,1778.064665
3.173057,1001,1787.254704
0.069363,1001,1799.524003
5.619989,1001,1808.759665
0.112412,1001,1817.995566
0.171457,1001,1827.20024
3.111052,728,1837.030459
0.106802,1001,1846.329841
1.425867,1001,1855.549831
5.206874,536,1860.691422
0.067216,1001,1869.927249
0.159866,1001,1882.132009
0.146078,1001,1891.352224
0.27411,1001,1900.572267
3.976724,1001,1909.792635
0.16341,1001,1921.951101
15.138291,690,1928.467711
8.087024,1001,1937.672406
12.885589,1001,1946.970628
0.050176,1001,1959.459957
0.186405,1001,1968.867372
3.188088,630,1974.883771
15.227918,820,1982.619321
0.153974,1001,1991.887431
19.717325,1001,2004.123506
0.943529,1001,2013.468565
10.263791,1001,2022.704409
0.27477,1001,2031.908828
0.436353,1001,2044.2869
4.260281,1001,2053.700855
2.818828,1001,2062.889861
7.853193,1001,2072.719345
0.00563,1001,2085.221784
0.491408,1001,2094.880883
14.576782,1001,2104.148119
0.108485,1001,2113.571557
21.472893,1001,2125.902544
0.000469,1001,2135.122694
0.026715,1001,2144.48329
5.879193,1001,2153.766356
9.559445,1001,2166.128848
2.625573,1001,2175.381274
1.22431,1001,2184.585889
0.015451,1001,2193.837108
0.165021,1001,2203.042542
0.158575,1001,2215.263427
1.556343,1001,2224.499119
0.278607,1001,2233.766139
1.327825,1001,2243.002942
1.933003,779,2253.303656
23.17792,1001,2262.50817
0.085722,1001,2271.759525
0.152037,1001,2281.151611
22.390503,1001,2293.434531
9.867957,1001,2302.607611
1.581819,1001,2311.813195
0.453517,1001,2321.048999
7.783569,1001,2333.300551
5.840073,1001,2342.522288
0.081825,1001,2351.773775
1.648882,1001,2361.025314
1.119133,793,2371.637295
25.380608,1001,2380.999039
0.155741,1001,2390.282006
0.328409,1001,2399.642595
0.178525,1001,2411.879026
0.882601,1001,2421.083502
0.41282,1001,2430.319684
2.243284,882,2438.540672
27.401447,977,2447.526354
17.800795,776,2457.778478
1.591236,1001,2466.983072
2.00063,1001,2476.156789
8.981252,780,2483.470412
2.838221,748,2493.534366
3.091301,1001,2502.755509
2.907615,1001,2512.100603
0.201483,1001,2521.620222
0.225942,1001,2530.999803
7.082115,1001,2543.547693
0.129399,1001,2552.970878
11.571918,1001,2562.270553
15.822304,1001,2571.522774
1.626664,1001,2583.950399
24.406386,1001,2593.422275
3.023553,635,2599.438966
5.019483,1001,2608.644598
16.046613,1001,2620.850648
2.440904,1001,2630.039608
0.004274,1001,2639.449795
2.542331,1001,2648.919595
11.159989,1001,2661.328475
1.150223,1001,2670.705921
13.979475,1001,2680.021116
0.741733,1001,2689.178794
5.045634,1001,2701.509681
2.758836,855,2709.716026
7.126996,1001,2719.062323
0.165591,1001,2728.396683
3.101398,966,2737.406225
18.499368,1001,2749.875676
1.135921,1001,2759.189945
21.210701,1001,2768.47485
2.907538,1001,2777.66449
5.73467,1001,2789.996054
0.69473,1001,2799.452031
2.741316,1001,2808.876793
1.811167,261,2811.691695
6.69031,1001,2824.070111
1.24074,1001,2833.369511
1.297522,718,2840.325428
2.288448,1001,2849.561382
12.599594,1001,2858.782523
7.383895,1001,2871.019396
0.994831,1001,2880.286668
4.940054,1001,2889.523692
21.295991,1001,2898.697346
9.365822,1001,2910.950007
0.709516,1001,2920.169968
0.227198,1001,2929.375255
23.688209,1001,2938.610989
3.076435,866,2949.912103
8.846015,922,2958.492248
0.278588,1001,2967.978118
30.376906,1001,2977.307278
0.28533,1001,2989.889809
2.962324,1001,2999.460113
6.563954,1001,3009.012197
0.829059,1001,3018.170613
1.249688,1001,3030.455473
6.179489,1001,3039.816412
4.334592,954,3048.755268
3.429011,1001,3058.445027
2.339349,1001,3067.915062
28.897585,1001,3080.246697
14.9576,1001,3089.654669
5.935808,1001,3098.859264
0.744498,1001,3108.266854
2.40422,1001,3121.185097
0.17246,1001,3130.640491
0.089279,1001,3140.570523
27.996465,1001,3150.745229
2.477872,981,3162.609053
10.048173,529,3167.688293
2.068029,372,3171.4222
4.16048,781,3178.70482
2.80413,1001,3188.117422
1.461489,761,3198.105163
2.287572,1001,3207.359857
9.774682,855,3215.299026
2.437118,572,3220.73841
6.644397,837,3228.505826
12.991233,1001,3240.493016
1.852502,462,3244.978359
4.654196,687,3251.433777
1.589497,1001,3260.670793
4.965933,314,3263.906202
9.746035,1001,3273.188941
0.216979,1001,3285.332101
2.477786,482,3290.02051
1.820911,476,3294.630698
2.773872,599,3300.335535
15.97782,615,3306.227147
4.30294,469,3310.868561
15.100709,1001,3322.933723
1.291296,702,3329.60867
3.023399,875,3337.687676
9.924417,1001,3346.907703
6.048311,1001,3356.143832
3.689753,521,3363.941761
6.910184,349,3367.505555
6.32064,363,3371.146847
19.121061,642,3377.226548
2.674861,1001,3386.464445
1.597146,870,3394.527772
13.459355,796,3404.748499
1.850429,1001,3413.968466
1.598926,546,3419.187854
2.194135,1001,3428.423733
1.01971,1001,3437.706936
1.915191,1001,3449.837167
1.877588,1001,3459.04287
4.699915,1001,3468.262741
7.716758,629,3474.201183
0.681917,975,3485.874926
4.770469,652,3492.048455
3.975028,1001,3501.239185
10.781682,1001,3510.413103
2.366266,551,3515.701962
12.846362,874,3526.526289
3.001239,932,3535.074451
1.036194,1001,3544.231626
1.847054,1001,3553.39005
2.623936,788,3560.767315
5.968912,875,3571.660187
1.570831,815,3579.271182
9.647601,1001,3588.443977
3.918934,604,3594.179056
1.481544,490,3598.91461
10.340515,503,3603.789994
3.336983,604,3612.323659
1.789466,1001,3621.512874
0.430787,1001,3630.702609
1.621264,1001,3639.954985
6.7661,1001,3651.879538
1.83728,193,3654.035951
2.688822,538,3659.192592
0.690215,682,3665.756901
31.952841,844,3673.78275
9.18927,1001,3683.606339
14.743632,546,3691.740113
5.203041,1001,3701.394865
8.935638,1001,3710.784654
1.352089,1001,3720.190423
2.678141,553,3725.573438
1.901529,532,3733.553744
2.579444,865,3741.796965
3.421288,1001,3751.001398
11.258177,403,3755.224688
5.799985,771,3763.164916
1.913175,351,3766.824287
19.019109,972,3778.669639
1.796853,1001,3787.937436
9.246524,758,3795.047872
15.673172,1001,3804.268146
1.409288,234,3806.78416
6.11087,1001,3818.770155
1.846953,239,3821.348898
1.716581,1001,3830.537362
2.790506,1001,3839.757293
3.259258,308,3842.929563
19.816257,447,3847.352592
2.534621,511,3852.353313
6.847011,1001,3864.449675
8.074771,669,3870.872313
1.516369,1001,3880.140251
14.762929,570,3885.610608
2.526737,191,3887.769416
3.277338,310,3890.941761
4.447464,780,3900.961687
5.409195,303,3904.055913
19.640866,1001,3913.30705
8.641773,420,3917.463985
2.71848,371,3921.183424
15.021321,343,3924.637884
4.551892,663,3930.841919
3.807548,551,3936.092704
3.63177,603,3944.703946
4.993113,610,3950.48608
10.09674,497,3955.283675
6.354517,799,3962.722365
2.244242,379,3966.488727
10.40161,493,3971.333365
2.877412,655,3977.506039
3.775837,881,3988.461979
2.956485,441,3992.790804
2.554508,1001,4001.979681
1.340611,686,4008.433749
22.617599,669,4015.15711
3.055824,341,4018.807816
5.238874,942,4030.921418
1.194466,467,4035.931577
5.624294,550,4041.549134
13.916185,625,4047.888484
2.406006,615,4054.29188
2.198245,441,4058.981186
11.229952,909,4067.973547
4.671115,715,4078.844214
12.794181,466,4083.980187
1.955289,418,4088.587707
3.39183,461,4093.652523
15.591285,721,4101.311529
7.764049,466,4106.34275
2.497005,391,4110.73079
2.102176,421,4115.221015
11.704431,431,4123.070318
6.596116,976,4132.595593
4.698754,786,4140.175622
3.892757,799,4147.805696
